price,sqft,bds,ba
689999.0,806.0,2.0,2.0
699900.0,935.0,2.0,2.0
674000.0,809.0,2.0,2.0
689900.0,821.0,2.0,2.0
658000.0,1152.0,2.0,2.0
620000.0,809.0,2.0,2.0
414900.0,855.0,2.0,1.0
699900.0,1152.0,2.0,2.0
568900.0,863.0,2.0,2.0
579900.0,820.0,2.0,2.0
699000.0,850.0,2.0,2.0
349000.0,750.0,1.0,1.0
439900.0,744.0,1.0,1.0
380000.0,719.0,1.0,1.0
549000.0,779.0,2.0,2.0
515000.0,1157.0,2.0,2.0
399000.0,829.0,2.0,2.0
549900.0,733.0,2.0,2.0
547200.0,715.0,2.0,2.0
500000.0,686.0,2.0,2.0
365000.0,489.0,1.0,1.0
347000.0,512.0,1.0,1.0
509000.0,1025.0,2.0,2.0
479800.0,975.0,2.0,2.0
549900.0,1201.0,2.0,2.0
648800.0,855.0,2.0,2.0
449800.0,900.0,1.0,1.0
419800.0,710.0,1.0,1.0
459000.0,510.0,1.0,1.0
399999.0,658.0,1.0,1.0
449900.0,588.0,1.0,1.0
325000.0,1306.0,2.0,2.0
499000.0,1202.0,2.0,2.0
499999.0,747.0,3.0,2.0
469700.0,583.0,1.0,1.0
529000.0,899.0,2.0,2.0
398000.0,603.0,1.0,1.0
410000.0,903.0,2.0,2.0
575000.0,1352.0,2.0,2.0
469000.0,955.0,2.0,2.0
439000.0,524.0,2.0,1.0
319000.0,799.0,1.0,1.0
629900.0,933.0,2.0,2.0
576000.0,855.0,2.0,2.0
599900.0,645.0,2.0,1.0
469000.0,561.0,1.0,1.0
340000.0,409.0,0.5,1.0
518800.0,1077.0,2.0,2.0
499900.0,1053.0,2.0,2.0
399000.0,906.0,2.0,2.0
489900.0,869.0,2.0,2.0
555000.0,758.0,2.0,2.0
435000.0,1200.0,2.0,2.0
747000.0,807.0,2.0,2.0
499000.0,1149.0,2.0,2.0
499900.0,718.0,1.0,1.0
519900.0,1071.0,2.0,2.0
388000.0,448.0,1.0,1.0
499800.0,688.0,2.0,1.0
489800.0,517.0,1.0,1.0
564999.0,685.0,2.0,2.0
366900.0,628.0,1.0,1.0
504900.0,1255.0,3.0,2.0
445000.0,628.0,1.0,1.0
388000.0,448.0,1.0,1.0
524888.0,1218.0,2.0,2.0
499000.0,1023.0,2.0,2.0
530000.0,1035.0,2.0,2.0
359900.0,429.0,1.0,1.0
384900.0,559.0,1.0,1.0
629900.0,953.0,2.0,2.0
489000.0,530.0,1.0,1.0
718000.0,809.0,2.0,2.0
544900.0,776.0,2.0,2.0
445000.0,710.0,1.0,1.0
678910.0,876.0,2.0,2.0
535000.0,920.0,2.0,2.0
619900.0,736.0,2.0,2.0
698000.0,735.0,2.0,2.0
395000.0,631.0,1.0,1.0
545000.0,686.0,2.0,2.0
530000.0,805.0,2.0,2.0
529900.0,716.0,2.0,1.0
480000.0,876.0,2.0,2.0
508900.0,563.0,1.0,1.0
583000.0,735.0,2.0,2.0
619900.0,952.0,2.0,2.0
439000.0,870.0,2.0,2.0
339000.0,585.0,1.0,1.0
338000.0,431.0,1.0,1.0
969800.0,1730.0,3.0,2.0
628000.0,809.0,2.0,2.0
499000.0,673.0,2.0,1.0
375000.0,474.0,0.5,1.0
449000.0,686.0,1.0,1.0
649000.0,850.0,2.0,2.0
499800.0,1053.0,2.0,2.0
579900.0,850.0,2.0,2.0
349800.0,484.0,1.0,1.0
599900.0,1550.0,2.0,0.0
468800.0,530.0,1.0,1.0
375000.0,557.0,1.0,1.0
499000.0,845.0,2.0,2.0
389900.0,421.0,0.5,1.0
499000.0,801.0,2.0,2.0
499900.0,421.0,1.0,1.0
499000.0,1331.0,2.0,2.0
619000.0,1179.0,3.0,2.0
425000.0,552.0,1.0,1.0
408800.0,569.0,1.0,1.0
868000.0,1300.0,2.0,2.0
741900.0,850.0,2.0,2.0
